sym,side,open,close,p0,p_exit,vwap_entry,peak,bal0,size_pct,build_s,dur,open_fills,close_fills,adds,adds_worse,pre5,pre30,mae,mfe,pnl,fee,net,ret,day_pnl_before,prev_same_net,prev_same_gap,hour,date
LAB-USDT-SWAP,long,2026-07-06 17:04:26,2026-07-06 17:05:36,15.726,15.75,31.298625000000005,500.778,2925.67971084,17.116637824180017,18.0,1.1666666666666667,6,10,5,4,-1.9086826347305297,-1.3425345043914572,-0.9919877909195018,0.19712577896475736,16.4839999,-1.8263626000000004,14.657637300000001,2.926973089872159,37.64017686,5.6803205,4.783333333333333,17,2026-07-06
LAB-USDT-SWAP,long,2026-07-06 17:37:04,2026-07-06 17:37:46,15.443,15.49,30.886,247.088,2940.3373482399998,8.403389500456457,0.0,0.7,1,3,0,0,,,0.0,0.3172958622029487,3.778,-0.866697,2.911303,1.1782454024477111,52.29781416,14.657637300000001,31.466666666666665,17,2026-07-06
LAB-USDT-SWAP,short,2026-07-06 19:19:07,2026-07-06 19:21:49,16.922,16.85,33.8422,270.7376,2943.24865124,9.198597606965262,0.0,2.7,4,6,3,0,,,-0.0,0.4432100224559754,5.746,-1.3508149999999999,4.395185000000001,1.6234113769199403,55.209117160000005,2.911303,101.35,19,2026-07-06
HMSTR-USDT-SWAP,short,2026-07-06 21:54:31,2026-07-06 21:57:19,0.0003147,0.0003137,0.006293999999999999,205.75086,2947.64383624,6.980180490952896,0.0,2.8,5,32,4,0,,,-0.0,0.3495392437241951,3.2887600000000003,-0.76971998,2.5190400200000003,1.2243156699320725,59.60430216,0.5292063800000002,1368.0,21,2026-07-06
LAB-USDT-SWAP,short,2026-07-06 22:10:15,2026-07-06 22:11:36,16.694,16.629,33.388,146.9072,2950.1628763,4.979630147886828,0.0,1.35,8,5,7,0,,,-0.0,0.3953516233377252,2.898,-0.683005,2.214995,1.507751151747498,62.123342179999995,4.395185000000001,168.43333333333334,22,2026-07-06
LAB-USDT-SWAP,long,2026-07-06 23:01:50,2026-07-06 23:17:07,16.36,16.399,32.72,294.48,2954.0093175,9.9688243451182,0.0,15.283333333333333,3,5,2,0,,,0.0,0.23838630806847227,3.51,-1.1011469999999999,2.4088529999999997,0.8180022412387936,64.33833718000001,2.214995,50.233333333333334,23,2026-07-06
LIT-USDT-SWAP,short,2026-07-06 23:46:16,2026-07-06 23:46:39,2.6562,2.6525,0.053124000000000005,21.2496,2956.4181705,0.7187616492157533,8.0,0.38333333333333336,3,4,2,0,,,-0.0,0.17317973044198576,1.5232999999999999,-0.77405189,0.7492481099999999,3.525939829455613,66.74719018,,,23,2026-07-06
LAB-USDT-SWAP,long,2026-07-07 00:00:41,2026-07-07 00:00:49,15.854,15.89,31.708000000000006,133.1736,2907.40963431,4.580489740022664,0.0,0.13333333333333333,4,3,3,0,,,0.0,0.22707203229470618,1.512,-0.6666239999999999,0.8453760000000001,0.6347924813927086,0.0,2.4088529999999997,43.56666666666667,0,2026-07-07
LAB-USDT-SWAP,long,2026-07-07 08:03:49,2026-07-07 08:09:32,13.742,13.724,27.35510243902439,560.7796,2908.2550103099998,19.2823393413573,54.0,5.716666666666667,12,12,11,5,,,-0.9823897540387261,0.014553922282045662,9.72299996,-2.8087595,6.914240459999999,1.2329693269869304,0.8453759999999999,0.8453760000000001,483.0,8,2026-07-07
SKHYNIX-USDT-SWAP,long,2026-07-07 10:34:33,2026-07-07 10:36:04,1439.09,1448.48,287.81800000000004,290.69618,2915.1692508099995,9.971845714248945,0.0,1.5166666666666666,1,2,0,0,,,0.0,0.6573598593555774,9.529539999999999,-1.45824567,8.071294329999999,2.77653952315438,7.759616459999998,5.577946379999998,1372.5666666666666,10,2026-07-07
SKHYNIX-USDT-SWAP,long,2026-07-07 10:48:40,2026-07-07 10:56:21,1429.54,1439.01,285.91659000000004,285.91659,2923.24054514,9.78080953602492,0.0,7.683333333333334,2,10,1,0,,-0.663613811505881,0.0,0.6638499097611827,9.431450000000002,-1.4342986900000005,7.997151310000001,2.797022484774319,15.830910789999999,8.071294329999999,12.6,10,2026-07-07
SKHYNIX-USDT-SWAP,long,2026-07-07 12:19:31,2026-07-07 12:57:04,1406.07,1402.64,279.999,559.998,2932.60897369,19.095556380821343,1626.0,37.55,9,14,8,4,,,-0.8641106061575754,0.0,5.378419980000001,-2.16158755,3.216832430000001,0.5744364140586218,23.8280621,7.997151310000001,83.16666666666667,12,2026-07-07
